full_name,email,phone,ward,stake,registration_id
Moses Njoroge,moses.njoroge@githurai-lds.org,0701 111 001,Githurai Ward,Nairobi Kenya East Stake,YsaRegistration2025_001
Janet Auma,janet.auma@githurai-lds.org,0701 111 002,Githurai Ward,Nairobi Kenya East Stake,YsaRegistration2025_002
John Mwangi,john.mwangi@kayole1-lds.org,0712 345 678,Kayole First Ward,Nairobi Kenya East Stake,YsaRegistration2025_003
Grace Njeri,grace.njeri@kayole1-lds.org,0701 234 567,Kayole First Ward,Nairobi Kenya East Stake,YsaRegistration2025_004
Agnes Kamau,agnes.kamau@kayole2-lds.org,0702 345 123,Kayole Second Ward,Nairobi Kenya East Stake,YsaRegistration2025_005
Samuel Kipkorir,samuel.kipkorir@kayole2-lds.org,0713 456 234,Kayole Second Ward,Nairobi Kenya East Stake,YsaRegistration2025_006
Beatrice Wambui,beatrice.wambui@luckysummer-lds.org,0714 222 333,Lucky Summer Ward,Nairobi Kenya East Stake,YsaRegistration2025_007
Kevin Mburu,kevin.mburu@luckysummer-lds.org,0725 333 444,Lucky Summer Ward,Nairobi Kenya East Stake,YsaRegistration2025_008
Brian Maina,brian.maina@zimmerman-lds.org,0705 123 678,Zimmerman Ward,Nairobi Kenya East Stake,YsaRegistration2025_009
Diana Chege,diana.chege@zimmerman-lds.org,0738 456 901,Zimmerman Ward,Nairobi Kenya East Stake,YsaRegistration2025_010
Sheila Kimathi,sheila.kimathi@gigiri-lds.org,0740 111 345,Gigiri Ward,Nairobi Kenya East Stake,YsaRegistration2025_011
Alex Obuya,alex.obuya@gigiri-lds.org,0740 111 346,Gigiri Ward,Nairobi Kenya East Stake,YsaRegistration2025_012
Cynthia Mutiso,cynthia.mutiso@upperhill-lds.org,0704 555 123,Upper Hill Ward,Nairobi Kenya East Stake,YsaRegistration2025_013
Elijah Mwanzia,elijah.mwanzia@upperhill-lds.org,0737 888 456,Upper Hill Ward,Nairobi Kenya East Stake,YsaRegistration2025_014
Brenda Waithera,brenda.waithera@dandora-lds.org,0710 222 111,Dandora Branch,Nairobi Kenya East Stake,YsaRegistration2025_015
Fredrick Onyango,fredrick.onyango@dandora-lds.org,0721 333 222,Dandora Branch,Nairobi Kenya East Stake,YsaRegistration2025_016
Mercy Gachanja,mercy.gachanja@kabiria-lds.org,0707 101 101,Kabiria Ward,Nairobi Kenya West Stake,YsaRegistration2025_017
Paul Kipruto,paul.kipruto@kabiria-lds.org,0712 202 202,Kabiria Ward,Nairobi Kenya West Stake,YsaRegistration2025_018
